1746981058.581,0.5,3,1.994
1746981060.580,0.5,2,1.979
1746981062.581,0.5,1,1.989
1746981064.581,0.5,3,1.999
1746981066.581,0.5,3,1.999
1746981068.580,0.5,2,1.963
1746981070.581,0.5,343,1.999
1746981072.581,0.5,2,1.994
1746981074.581,0.5,2,1.925
1746981076.581,0.5,3,1.994
1746981078.580,0.5,1,1.997
1746981080.580,0.5,2,1.989
1746981082.580,0.5,2,1.914
1746981084.581,0.5,2,1.990
1746981086.581,0.5,2,1.946
1746981088.581,0.5,2,1.993
1746981090.580,0.5,2,1.967
1746981092.581,0.5,350,1.994
1746981094.581,0.5,3,1.942
1746981096.581,0.5,2,1.990
1746981098.581,0.5,3,1.968
1746981100.580,0.5,3,1.997
1746981102.581,0.5,2,1.997
1746981104.581,0.5,2,1.994
1746981106.581,0.5,2,1.954
1746981108.581,0.5,3,1.999
1746981110.581,0.5,3,1.997
1746981112.581,0.5,358,1.998
1746981114.581,0.5,2,1.992
1746981116.581,0.5,2,1.991
1746981118.581,0.5,2,1.991
1746981120.581,0.5,2,1.998
1746981122.581,0.5,3,1.960
1746981124.581,0.5,2,1.970
1746981126.581,0.5,3,1.989
1746981128.581,0.5,1,1.987
1746981130.581,0.5,3,1.970
1746981132.580,0.5,27,1.970
1746981134.581,0.5,343,1.917
1746981136.581,0.5,30,1.920
1746981138.580,0.5,25,1.995
1746981140.581,0.5,343,1.993
1746981142.581,0.5,357,1.925
1746981144.581,0.5,342,1.916
1746981146.581,0.5,343,1.999
1746981148.581,0.5,27,1.949
1746981150.581,0.5,358,1.981
1746981152.581,0.5,357,1.973
1746981154.581,0.5,343,1.980
1746981156.581,0.5,343,1.931
