timestamp,freq,cpu,ram
1746982262.682,2.0,50.9,32.8
1746982263.180,2.0,62.4,32.9
1746982263.680,2.0,57.8,33.0
1746982264.180,2.0,59.0,33.0
1746982264.680,2.0,40.3,33.0
1746982265.180,2.0,22.6,33.0
1746982265.680,2.0,26.2,33.0
1746982266.180,2.0,30.1,33.0
1746982266.680,2.0,32.3,33.0
1746982267.181,2.0,31.7,33.0
1746982267.680,2.0,29.3,32.9
1746982268.180,2.0,27.1,32.9
1746982268.681,2.0,21.7,32.9
1746982269.180,2.0,20.3,32.9
1746982269.680,2.0,22.5,32.9
1746982270.181,2.0,30.3,33.0
1746982270.680,2.0,28.2,33.0
1746982271.180,2.0,26.2,33.0
1746982271.680,2.0,20.0,33.0
1746982272.181,2.0,22.2,33.0
1746982272.680,2.0,20.7,33.0
1746982273.180,2.0,21.0,33.0
1746982273.680,2.0,19.8,33.0
1746982274.181,2.0,32.0,33.0
1746982274.680,2.0,24.7,33.0
1746982275.180,2.0,31.2,33.0
1746982275.680,2.0,34.4,33.0
1746982276.180,2.0,29.0,33.0
1746982276.681,2.0,30.8,33.0
1746982277.180,2.0,29.3,33.0
1746982277.680,2.0,25.3,33.0
1746982278.180,2.0,21.0,33.0
1746982278.680,2.0,22.8,33.0
1746982279.181,2.0,22.9,33.0
1746982279.680,2.0,24.1,33.0
1746982280.180,2.0,22.4,33.0
1746982280.680,2.0,20.0,33.0
1746982281.180,2.0,20.8,33.0
1746982281.681,2.0,21.3,33.0
1746982282.181,2.0,19.7,33.0
1746982282.680,2.0,24.2,33.0
1746982283.180,2.0,21.7,33.0
1746982283.680,2.0,23.1,33.0
1746982284.181,2.0,21.7,33.0
1746982284.680,2.0,21.5,33.0
1746982285.180,2.0,21.1,33.0
1746982285.680,2.0,22.2,33.0
1746982286.180,2.0,22.7,33.0
1746982286.680,2.0,23.8,32.9
1746982287.180,2.0,22.8,32.9
1746982287.680,2.0,26.5,32.9
