timestamp,freq,cpu,ram
1746982103.211,0.5,60.5,32.7
1746982105.211,0.5,40.4,32.8
1746982107.211,0.5,30.7,32.8
1746982109.211,0.5,25.7,32.8
1746982111.211,0.5,26.7,32.8
1746982113.211,0.5,22.8,32.8
1746982115.211,0.5,23.8,32.8
1746982117.211,0.5,23.6,32.8
1746982119.211,0.5,36.6,33.1
1746982121.211,0.5,25.7,33.1
1746982123.211,0.5,24.5,32.8
1746982125.211,0.5,32.2,33.0
1746982127.211,0.5,30.8,32.7
1746982129.211,0.5,24.7,32.4
1746982131.211,0.5,23.1,32.4
1746982133.211,0.5,22.1,32.4
1746982135.211,0.5,23.3,32.4
1746982137.211,0.5,21.9,32.3
1746982139.211,0.5,28.4,32.4
1746982141.211,0.5,25.8,32.4
1746982143.211,0.5,22.3,32.4
1746982145.211,0.5,25.6,32.4
1746982147.211,0.5,27.0,32.4
1746982149.211,0.5,23.2,32.4
1746982151.211,0.5,20.3,32.4
1746982153.211,0.5,19.8,32.4
1746982155.212,0.5,20.2,32.4
1746982157.211,0.5,19.2,32.4
1746982159.211,0.5,20.3,32.4
1746982161.212,0.5,23.1,32.4
1746982163.211,0.5,20.9,32.4
1746982165.211,0.5,21.2,32.4
1746982167.211,0.5,22.6,32.3
1746982169.211,0.5,20.8,32.3
1746982171.211,0.5,21.3,32.3
1746982173.211,0.5,21.0,32.3
1746982175.211,0.5,20.3,32.3
1746982177.211,0.5,19.5,32.3
1746982179.211,0.5,20.1,32.3
1746982181.211,0.5,20.3,32.3
1746982183.211,0.5,23.3,32.3
1746982185.211,0.5,22.9,32.3
1746982187.211,0.5,31.4,32.4
1746982189.211,0.5,29.1,32.4
1746982191.211,0.5,19.6,32.4
1746982193.212,0.5,20.8,32.4
