1746980277.753,0.5,341,1.999
1746980279.753,0.5,341,1.999
1746980281.753,0.5,341,1.937
1746980340.672,2.0,341,0.489
1746980341.171,2.0,341,0.479
1746980341.672,2.0,341,0.424
1746980342.172,2.0,342,0.497
1746980342.672,2.0,341,0.491
1746980343.171,2.0,342,0.414
1746980343.671,2.0,341,0.421
1746980344.172,2.0,342,0.438
1746980344.672,2.0,341,0.472
1746980345.171,2.0,341,0.482
1746980345.672,2.0,341,0.495
1746980346.171,2.0,342,0.494
1746980346.672,2.0,341,0.417
1746980347.172,2.0,341,0.432
1746980347.671,2.0,341,0.456
1746980348.172,2.0,341,0.494
1746980348.672,2.0,341,0.477
1746980349.171,2.0,342,0.498
1746980349.671,2.0,341,0.496
1746980350.171,2.0,342,0.495
1746980350.671,2.0,341,0.495
1746980351.172,2.0,341,0.490
1746980351.671,2.0,341,0.499
1746980352.172,2.0,341,0.450
1746980352.671,2.0,341,0.474
1746980353.171,2.0,341,0.495
1746980353.671,2.0,341,0.499
1746980354.171,2.0,341,0.492
1746980354.672,2.0,341,0.495
1746980355.172,2.0,341,0.438
1746980355.672,2.0,341,0.459
1746980356.171,2.0,341,0.447
1746980356.671,2.0,341,0.476
1746980357.171,2.0,341,0.492
1746980357.672,2.0,341,0.492
1746980358.171,2.0,341,0.499
1746980358.672,2.0,341,0.457
1746980359.171,2.0,341,0.487
1746980359.671,2.0,341,0.490
1746980360.171,2.0,341,0.496
1746980360.672,2.0,342,0.499
1746980361.172,2.0,341,0.446
1746980361.672,2.0,341,0.463
1746980362.172,2.0,341,0.489
1746980362.672,2.0,341,0.490
1746980363.172,2.0,341,0.476
1746980363.672,2.0,341,0.473
1746980364.171,2.0,341,0.491
1746980364.671,2.0,341,0.492
1746980365.171,2.0,341,0.494
1746980365.671,2.0,341,0.496
1746980366.171,2.0,341,0.495
1746980366.671,2.0,341,0.495
1746980367.172,2.0,341,0.500
1746980367.671,2.0,341,0.420
1746980368.172,2.0,341,0.432
1746980368.671,2.0,341,0.463
1746980369.172,2.0,341,0.495
