timestamp,freq,cpu,ram
1746982204.276,1.0,50.8,32.6
1746982205.276,1.0,62.1,32.8
1746982206.276,1.0,38.8,32.8
1746982207.276,1.0,26.4,32.8
1746982208.275,1.0,31.4,32.8
1746982209.276,1.0,28.2,32.8
1746982210.276,1.0,21.2,32.8
1746982211.276,1.0,20.8,32.8
1746982212.276,1.0,20.8,32.8
1746982213.276,1.0,21.6,32.8
1746982214.276,1.0,25.8,32.8
1746982215.276,1.0,20.8,32.8
1746982216.275,1.0,22.2,32.8
1746982217.276,1.0,20.1,32.8
1746982218.276,1.0,25.5,32.8
1746982219.276,1.0,24.2,32.7
1746982220.276,1.0,27.7,32.7
1746982221.275,1.0,28.9,32.8
1746982222.276,1.0,30.9,32.8
1746982223.276,1.0,28.0,32.8
1746982224.276,1.0,23.9,32.8
1746982225.276,1.0,22.4,32.8
1746982226.275,1.0,23.4,32.8
1746982227.276,1.0,20.5,32.8
1746982228.275,1.0,21.1,32.8
1746982229.276,1.0,21.3,32.8
1746982230.276,1.0,21.5,32.8
1746982231.276,1.0,20.8,32.8
1746982232.276,1.0,29.6,32.8
1746982233.276,1.0,22.7,32.7
1746982234.276,1.0,26.6,32.7
1746982235.276,1.0,24.0,32.7
1746982236.276,1.0,22.0,32.7
1746982237.275,1.0,21.4,32.7
1746982238.276,1.0,21.8,32.7
1746982239.276,1.0,21.4,32.7
1746982240.276,1.0,22.7,32.7
1746982241.276,1.0,23.1,32.7
1746982242.275,1.0,21.4,32.7
1746982243.276,1.0,20.3,32.7
1746982244.275,1.0,20.7,32.7
1746982245.275,1.0,20.7,32.7
1746982246.276,1.0,22.7,32.7
1746982247.276,1.0,22.1,32.7
1746982248.276,1.0,22.4,32.7
1746982249.276,1.0,22.2,32.7
1746982250.276,1.0,21.0,32.7
1746982251.276,1.0,22.2,32.7
1746982252.276,1.0,20.7,32.7
1746982253.276,1.0,21.5,32.7
