1746980423.653,5.0,341,0.155
1746980423.853,5.0,342,0.182
1746980424.053,5.0,329,0.191
1746980424.253,5.0,342,0.196
1746980424.453,5.0,342,0.196
1746980424.653,5.0,342,0.195
1746980424.853,5.0,342,0.195
1746980425.053,5.0,329,0.190
1746980425.253,5.0,342,0.190
1746980425.453,5.0,342,0.188
1746980425.653,5.0,342,0.190
1746980425.853,5.0,341,0.193
1746980426.053,5.0,343,0.194
1746980426.253,5.0,31,0.125
1746980426.453,5.0,341,0.174
1746980426.653,5.0,342,0.190
1746980426.853,5.0,342,0.192
1746980427.053,5.0,329,0.192
1746980427.253,5.0,1,0.145
1746980427.453,5.0,342,0.173
1746980427.653,5.0,342,0.199
1746980427.853,5.0,342,0.195
1746980428.053,5.0,342,0.195
1746980428.253,5.0,342,0.145
1746980428.453,5.0,342,0.178
1746980428.653,5.0,342,0.194
1746980428.853,5.0,342,0.192
1746980429.053,5.0,342,0.129
1746980429.253,5.0,341,0.170
1746980429.453,5.0,341,0.196
1746980429.653,5.0,341,0.192
1746980429.853,5.0,341,0.194
1746980430.053,5.0,341,0.142
1746980430.253,5.0,341,0.177
1746980430.453,5.0,342,0.194
1746980430.653,5.0,342,0.194
1746980430.853,5.0,329,0.109
1746980431.053,5.0,342,0.157
1746980431.253,5.0,341,0.197
1746980431.453,5.0,342,0.195
1746980431.653,5.0,342,0.194
1746980431.853,5.0,342,0.128
1746980432.053,5.0,342,0.163
1746980432.253,5.0,329,0.197
1746980432.453,5.0,342,0.197
1746980432.653,5.0,342,0.196
1746980432.853,5.0,342,0.131
1746980433.053,5.0,342,0.175
1746980433.253,5.0,341,0.193
1746980433.453,5.0,329,0.192
1746980433.653,5.0,342,0.139
1746980433.853,5.0,342,0.173
1746980434.053,5.0,342,0.193
1746980434.253,5.0,342,0.194
1746980434.453,5.0,342,0.193
1746980434.653,5.0,358,0.141
1746980434.853,5.0,342,0.177
1746980435.053,5.0,342,0.191
1746980435.253,5.0,342,0.192
1746980435.453,5.0,341,0.107
1746980435.653,5.0,342,0.155
1746980435.853,5.0,342,0.194
1746980436.053,5.0,341,0.192
1746980436.253,5.0,342,0.120
1746980436.453,5.0,342,0.156
1746980436.653,5.0,342,0.193
1746980436.853,5.0,342,0.193
1746980437.053,5.0,342,0.116
1746980437.253,5.0,341,0.154
1746980437.453,5.0,329,0.180
1746980437.653,5.0,342,0.193
1746980437.853,5.0,342,0.194
1746980438.053,5.0,342,0.136
1746980438.253,5.0,342,0.171
1746980438.453,5.0,342,0.193
1746980438.653,5.0,341,0.193
1746980438.853,5.0,342,0.142
1746980439.053,5.0,329,0.177
1746980439.253,5.0,342,0.191
1746980439.453,5.0,329,0.193
1746980439.653,5.0,341,0.139
1746980439.853,5.0,342,0.159
1746980440.053,5.0,342,0.194
1746980440.253,5.0,342,0.199
1746980440.453,5.0,342,0.194
1746980440.653,5.0,342,0.141
1746980440.853,5.0,342,0.190
1746980441.053,5.0,342,0.199
1746980441.253,5.0,342,0.196
1746980441.453,5.0,329,0.140
1746980441.653,5.0,341,0.182
1746980441.853,5.0,342,0.192
1746980442.053,5.0,342,0.194
1746980442.253,5.0,342,0.124
1746980442.453,5.0,341,0.154
1746980442.653,5.0,329,0.185
1746980442.853,5.0,342,0.198
1746980443.053,5.0,342,0.125
1746980443.253,5.0,342,0.170
1746980443.453,5.0,341,0.191
1746980443.653,5.0,342,0.192
1746980443.853,5.0,329,0.134
1746980444.053,5.0,342,0.158
1746980444.253,5.0,341,0.191
1746980444.453,5.0,342,0.196
