1746980920.976,1.0,344,0.431
1746980921.975,1.0,2,0.995
1746980922.975,1.0,343,0.939
1746980923.975,1.0,2,0.987
1746980924.975,1.0,3,0.996
1746980925.975,1.0,359,0.995
1746980926.976,1.0,3,0.998
1746980927.975,1.0,3,0.957
1746980928.975,1.0,27,0.994
1746980929.975,1.0,3,0.996
1746980930.975,1.0,342,0.948
1746980931.975,1.0,358,0.992
1746980932.975,1.0,344,0.996
1746980933.976,1.0,343,0.997
1746980934.975,1.0,358,0.960
1746980935.975,1.0,0,0.996
1746980936.976,1.0,2,0.998
1746980937.976,1.0,359,0.936
1746980938.975,1.0,2,0.977
1746980939.976,1.0,2,0.993
1746980940.975,1.0,356,0.962
1746980941.976,1.0,356,0.991
1746980942.976,1.0,2,0.939
1746980943.975,1.0,344,0.996
1746980944.976,1.0,3,0.926
1746980945.975,1.0,3,0.983
1746980946.975,1.0,2,0.995
1746980947.975,1.0,2,0.920
1746980948.975,1.0,3,0.984
1746980949.975,1.0,358,0.989
1746980950.975,1.0,0,0.932
1746980951.975,1.0,2,0.991
1746980952.976,1.0,1,0.989
1746980953.975,1.0,359,0.957
1746980954.975,1.0,343,0.993
1746980955.975,1.0,2,0.934
1746980956.975,1.0,2,0.987
1746980957.976,1.0,0,0.998
1746980958.976,1.0,3,0.962
1746980959.975,1.0,0,0.998
1746980960.976,1.0,3,0.957
1746980961.975,1.0,1,0.996
1746980962.976,1.0,2,0.914
1746980963.975,1.0,2,0.984
1746980964.975,1.0,2,0.997
1746980965.976,1.0,358,0.992
1746980966.975,1.0,0,0.966
1746980967.975,1.0,2,0.996
1746980968.975,1.0,0,0.923
1746980969.975,1.0,3,0.991
1746980970.975,1.0,2,0.994
1746980971.976,1.0,2,0.931
1746980972.975,1.0,3,0.986
1746980973.975,1.0,3,0.996
1746980974.975,1.0,3,0.934
1746980975.975,1.0,3,0.980
1746980976.975,1.0,2,0.920
1746980977.976,1.0,2,0.968
1746980978.975,1.0,0,0.999
1746980979.975,1.0,3,0.993
1746980980.976,1.0,2,0.985
1746980981.976,1.0,343,0.991
1746980982.975,1.0,2,0.941
1746980983.975,1.0,2,0.999
1746980984.975,1.0,3,0.941
1746980985.975,1.0,2,0.994
1746980986.975,1.0,3,0.925
1746980987.976,1.0,2,0.995
1746980988.976,1.0,343,0.925
1746980989.975,1.0,3,0.980
1746980990.975,1.0,3,0.999
1746980991.975,1.0,3,0.968
1746980992.975,1.0,357,0.991
1746980993.976,1.0,2,0.996
1746980994.975,1.0,2,0.969
1746980995.975,1.0,3,0.999
1746980996.975,1.0,3,0.999
1746980997.975,1.0,3,0.951
1746980998.975,1.0,3,0.996
1746980999.975,1.0,3,0.995
1746981000.976,1.0,2,0.937
1746981001.975,1.0,1,0.998
1746981002.976,1.0,1,0.997
1746981003.975,1.0,3,0.947
1746981004.975,1.0,2,0.992
1746981005.976,1.0,2,0.995
1746981006.975,1.0,3,0.985
1746981007.976,1.0,1,0.995
1746981008.975,1.0,1,0.956
1746981009.975,1.0,3,0.998
1746981010.976,1.0,2,0.920
